@RELATION boston-housing

@ATTRIBUTE RM NUMERIC
@ATTRIBUTE LSTAT NUMERIC
@ATTRIBUTE PTRATIO NUMERIC
@ATTRIBUTE CRIM NUMERIC
@ATTRIBUTE MEDV NUMERIC

@DATA
6.431,13.67,17.4,0.03306,34.9
6.312,5.03,17.4,0.02058,37.0
6.083,11.93,17.4,0.02846,30.5
5.868,10.48,17.4,0.02779,36.4
6.333,14.33,17.4,0.03445,31.1
6.144,3.81,18.4,0.05083,29.1
5.706,24.39,18.4,0.05735,50.0
6.782,13.22,18.4,0.05404,33.3
6.251,13.67,18.4,0.03537,30.3
6.167,4.45,18.4,0.04981,34.6
5.750,6.68,18.4,0.01965,34.9
5.927,7.79,18.4,0.03871,32.9
5.914,6.29,18.4,0.04590,24.1
6.069,10.73,18.4,0.05789,42.3
6.593,3.53,18.4,0.04277,48.5
6.120,7.43,19.6,0.05789,50.0
6.976,4.66,19.6,0.06129,22.6
6.794,9.69,19.6,0.09604,24.4
6.030,9.92,19.6,0.10469,22.5
6.593,3.89,18.7,0.06417,24.4
6.861,5.12,18.7,0.06724,20.0
7.148,4.45,18.7,0.04544,21.7
6.630,6.59,18.7,0.05023,19.3
6.127,9.39,18.7,0.05083,22.4
6.009,13.51,18.7,0.03738,28.1
6.678,8.64,18.7,0.03961,23.7
6.549,8.16,18.7,0.03427,25.0
5.790,13.00,18.7,0.03041,23.3
6.345,11.30,15.2,0.03306,28.7
7.041,7.68,15.2,0.05497,21.5
6.871,6.48,15.2,0.06151,23.0
6.590,5.48,15.2,0.01301,26.7
6.495,9.74,15.2,0.02498,21.7
6.982,3.33,15.2,0.02543,27.5
7.236,3.64,15.2,0.03049,30.1
6.616,5.56,15.2,0.03113,44.8
7.420,2.98,19.2,0.04527,50.0
6.849,6.58,19.2,0.06076,37.6
6.635,6.27,19.2,0.10959,31.6
5.972,9.25,19.2,0.04741,46.7
4.973,20.62,19.2,0.06078,31.5
6.122,13.15,19.2,0.04527,24.3
6.023,14.44,19.2,0.06162,31.7
6.266,6.09,19.2,0.05025,41.7
6.567,9.39,19.2,0.07165,48.3
5.705,20.72,19.2,0.05372,29.0
5.914,14.98,19.2,0.05322,24.0
5.782,11.45,21.0,0.06076,25.1
6.382,11.08,21.0,0.05188,31.5
6.113,12.12,21.0,0.07886,23.7
6.426,7.79,21.0,0.12579,23.3
6.376,7.26,21.0,0.08370,22.0
6.041,9.41,21.0,0.09068,20.1
5.708,8.23,21.0,0.06911,22.2
6.415,12.60,21.0,0.08664,23.7
6.431,11.48,21.0,0.02187,17.6
6.312,12.27,21.0,0.01439,18.5
6.083,9.97,20.9,0.02875,24.3
5.868,7.74,20.9,0.04294,20.5
6.333,11.50,20.9,0.10153,24.5
6.144,12.03,20.9,0.05602,26.2
5.706,11.11,20.9,0.04684,24.4
6.782,7.40,20.9,0.03932,24.8
6.251,10.57,20.9,0.04203,29.6
6.167,8.92,20.9,0.02899,42.8
5.750,11.64,20.9,0.01151,21.9
5.927,5.68,20.9,0.01538,20.9
5.914,9.30,20.9,0.02899,44.0
5.782,10.67,20.9,0.06211,50.0
6.382,11.08,20.9,0.08447,36.0
6.113,12.12,20.9,0.06664,30.1
6.426,7.79,20.9,0.07022,33.8
6.376,7.26,20.9,0.05646,43.1
6.041,9.41,20.9,0.08387,48.8
5.708,8.23,20.9,0.04113,31.0
6.415,12.60,20.9,0.04462,36.5
6.431,11.48,20.9,0.03659,22.8
6.312,12.27,20.9,0.03551,30.7
6.083,9.97,17.8,0.05059,50.0
5.868,7.74,17.8,0.05735,43.5
6.333,11.50,17.8,0.05188,20.7
6.144,12.03,17.8,0.07244,21.1
5.706,11.11,17.8,0.05188,25.2
6.782,7.40,17.8,0.04819,24.4
6.251,10.57,17.8,0.05646,35.2
6.167,8.92,17.8,0.08447,32.4
5.750,11.64,17.8,0.06664,32.0
5.927,5.68,17.8,0.07022,33.2
5.914,9.30,17.8,0.05646,33.1
6.069,10.73,17.8,0.08387,29.1
6.593,3.53,17.8,0.10574,35.1
6.120,7.43,17.8,0.06829,45.4
6.976,4.66,17.8,0.08265,35.4
6.794,9.69,17.8,0.08199,46.0
6.030,9.92,17.8,0.06076,50.0
6.593,3.89,17.8,0.07886,32.2
6.861,5.12,17.8,0.09103,22.0
7.148,4.45,17.8,0.08447,20.1
6.630,6.59,17.8,0.06076,23.2
6.127,9.39,17.8,0.08265,22.3
6.009,13.51,17.8,0.09512,24.8
6.678,8.64,17.8,0.06829,28.5
6.549,8.16,17.8,0.08447,37.3
5.790,13.00,17.8,0.06664,27.9
6.345,11.30,17.8,0.07886,23.9
7.041,7.68,17.8,0.09103,21.7
6.871,6.48,17.8,0.05735,28.6
6.590,5.48,17.8,0.06417,27.1
6.495,9.74,17.8,0.05372,20.3
6.982,3.33,17.8,0.09604,22.5
7.236,3.64,17.8,0.10469,29.0
6.616,5.56,17.8,0.06417,24.8
7.420,2.98,17.8,0.06724,22.0
6.849,6.58,17.8,0.04544,26.4
6.635,6.27,17.8,0.05023,33.1
5.972,9.25,17.8,0.05083,36.1
4.973,20.62,17.8,0.03738,28.4
6.122,13.15,17.8,0.03961,33.4
6.023,14.44,17.8,0.03427,28.2
6.266,6.09,17.8,0.03041,22.8
6.567,9.39,17.8,0.03306,20.3
5.705,20.72,17.8,0.05497,16.1
5.914,14.98,17.8,0.06151,22.1
5.782,11.45,17.8,0.01301,19.4
6.382,11.08,17.8,0.02498,21.6
6.113,12.12,17.8,0.02543,23.8
6.426,7.79,17.8,0.03049,16.2
6.376,7.26,17.8,0.03113,17.8
6.041,9.41,17.8,0.04527,19.8
5.708,8.23,17.8,0.06076,23.1
6.415,12.60,17.8,0.10959,21.0
6.431,11.48,17.8,0.04741,23.8
6.312,12.27,17.8,0.06078,23.1
6.083,9.97,17.8,0.04527,20.4
5.868,7.74,17.8,0.06162,18.5
6.333,11.50,17.8,0.05025,25.0
6.144,12.03,17.8,0.07165,24.6
5.706,11.11,17.8,0.05372,23.0
6.782,7.40,17.8,0.05322,22.2
6.251,10.57,17.8,0.06076,19.3
6.167,8.92,17.8,0.05188,22.6
5.750,11.64,17.8,0.07886,19.8
5.927,5.68,17.8,0.12579,17.1
5.914,9.30,17.8,0.08370,19.4
6.069,10.73,17.8,0.09068,22.2
6.593,3.53,17.8,0.06911,20.7
6.120,7.43,17.8,0.08664,21.1
6.976,4.66,17.8,0.02187,19.5
6.794,9.69,17.8,0.01439,18.5
6.030,9.92,17.8,0.02875,20.6
6.593,3.89,17.8,0.04294,19.0
6.861,5.12,17.8,0.10153,18.7
7.148,4.45,17.8,0.05602,32.7
6.630,6.59,17.8,0.04684,16.5
6.127,9.39,17.8,0.03932,23.9
6.009,13.51,17.8,0.04203,31.2
6.678,8.64,17.8,0.02899,17.5
6.549,8.16,17.8,0.01151,17.2
5.790,13.00,17.8,0.01538,23.1
6.345,11.30,17.8,0.02899,24.5
7.041,7.68,17.8,0.06211,26.6
6.871,6.48,17.8,0.08447,22.9
6.590,5.48,17.8,0.06664,24.1
6.495,9.74,17.8,0.07022,18.6
6.982,3.33,17.8,0.05646,30.1
7.236,3.64,17.8,0.08387,18.2
6.616,5.56,17.8,0.04113,20.6
7.420,2.98,17.8,0.04462,17.8
6.849,6.58,17.8,0.03659,21.7
6.635,6.27,17.8,0.03551,22.7
5.972,9.25,17.8,0.05059,22.6
4.973,20.62,17.8,0.05735,25.0
6.122,13.15,17.8,0.05188,19.9
6.023,14.44,17.8,0.07244,20.8
6.266,6.09,17.8,0.05188,16.8
6.567,9.39,17.8,0.04819,21.9
5.705,20.72,17.8,0.05646,27.5
5.914,14.98,17.8,0.08447,21.9
5.782,11.45,17.8,0.06664,23.1
6.382,11.08,17.8,0.07022,50.0
6.113,12.12,17.8,0.05646,50.0
6.426,7.79,17.8,0.08387,50.0
6.376,7.26,15.2,0.10574,50.0
6.041,9.41,15.2,0.06829,13.8
5.708,8.23,15.2,0.08265,13.8
6.415,12.60,15.2,0.08199,15.0
6.431,11.48,15.2,0.06076,13.9
6.312,12.27,15.2,0.07886,13.3
6.083,9.97,15.2,0.09103,13.1
5.868,7.74,15.2,0.08447,10.2
6.333,11.50,15.2,0.06076,10.4
6.144,12.03,15.2,0.08265,10.9
5.706,11.11,15.2,0.09512,11.3
6.782,7.40,15.2,0.06829,12.3
6.251,10.57,15.2,0.08447,8.8
6.167,8.92,15.2,0.06664,7.2
5.750,11.64,15.2,0.07886,10.5
5.927,5.68,15.2,0.09103,7.4
5.914,9.30,15.2,0.05735,10.2
6.069,10.73,15.2,0.06417,11.5
6.593,3.53,15.2,0.05372,15.1
6.120,7.43,15.2,0.09604,23.2
6.976,4.66,15.2,0.10469,9.7
6.794,9.69,15.2,0.06417,13.8
6.030,9.92,15.2,0.06724,12.7
6.593,3.89,15.2,0.04544,13.1
6.861,5.12,15.2,0.05023,12.5
7.148,4.45,15.2,0.05083,8.5
6.630,6.59,15.2,0.03738,5.0
6.127,9.39,15.2,0.03961,6.3
6.009,13.51,15.2,0.03427,5.6
6.678,8.64,15.2,0.03041,7.2
6.549,8.16,15.2,0.03306,12.1
5.790,13.00,15.2,0.05497,8.3
6.345,11.30,15.2,0.06151,8.5
7.041,7.68,15.2,0.01301,5.0
6.871,6.48,15.2,0.02498,11.9
6.590,5.48,15.2,0.02543,27.9
6.495,9.74,15.2,0.03049,17.2
6.982,3.33,15.2,0.03113,27.5
7.236,3.64,15.2,0.04527,15.0
6.616,5.56,15.2,0.06076,17.2
7.420,2.98,15.2,0.10959,17.9
6.849,6.58,15.2,0.04741,16.3
6.635,6.27,19.1,0.06078,7.0
5.972,9.25,19.1,0.04527,7.2
4.973,20.62,19.1,0.06162,7.5
6.122,13.15,19.1,0.05025,10.4
6.023,14.44,19.1,0.07165,8.8
6.266,6.09,19.1,0.05372,8.4
6.567,9.39,19.1,0.05322,16.7
5.705,20.72,19.1,0.06076,14.2
5.914,14.98,19.1,0.05188,20.8
5.782,11.45,19.1,0.07886,13.4
6.382,11.08,19.1,0.12579,11.7
6.113,12.12,19.1,0.08370,8.3
6.426,7.79,19.1,0.09068,10.2
6.376,7.26,19.1,0.06911,10.9
6.041,9.41,19.1,0.08664,11.0
5.708,8.23,19.1,0.02187,9.5
6.415,12.60,19.1,0.01439,14.5
6.431,11.48,19.1,0.02875,14.1
6.312,12.27,19.1,0.04294,16.1
6.083,9.97,19.1,0.10153,14.3
5.868,7.74,19.1,0.05602,11.7
6.333,11.50,19.1,0.04684,13.4
6.144,12.03,19.1,0.03932,9.6
5.706,11.11,19.1,0.04203,8.7
6.782,7.40,19.1,0.02899,8.4
6.251,10.57,19.1,0.01151,12.8
6.167,8.92,19.1,0.01538,10.5
5.750,11.64,19.1,0.02899,17.1
5.927,5.68,19.1,0.06211,18.4
5.914,9.30,19.1,0.08447,15.4
6.069,10.73,19.1,0.06664,10.8
6.593,3.53,19.1,0.07022,11.8
6.120,7.43,19.1,0.05646,14.9
6.976,4.66,19.1,0.08387,12.6
6.794,9.69,19.1,0.04113,14.1
6.030,9.92,19.1,0.04462,13.0
6.593,3.89,19.1,0.03659,13.4
6.861,5.12,19.1,0.03551,15.2
7.148,4.45,19.1,0.05059,16.1
6.630,6.59,19.1,0.05735,17.8
6.127,9.39,19.1,0.05188,14.9
6.009,13.51,19.1,0.07244,14.1
6.678,8.64,19.1,0.05188,12.7
6.549,8.16,19.1,0.04819,13.5
5.790,13.00,19.1,0.05646,14.9
6.345,11.30,19.1,0.08447,20.0
7.041,7.68,19.1,0.06664,16.4
6.871,6.48,19.1,0.07022,17.7
6.590,5.48,19.1,0.05646,19.5
6.495,9.74,19.1,0.08387,20.2
6.982,3.33,19.1,0.10574,21.4
7.236,3.64,19.1,0.06829,19.9
6.616,5.56,19.1,0.08265,19.0
7.420,2.98,19.1,0.08199,19.1
6.849,6.58,19.1,0.06076,19.1
6.635,6.27,19.1,0.07886,20.1
5.972,9.25,19.1,0.09103,19.9
4.973,20.62,19.1,0.08447,19.6
6.122,13.15,19.1,0.06076,23.2
6.023,14.44,19.1,0.08265,29.8
6.266,6.09,18.2,0.09512,13.8
6.567,9.39,18.2,0.06829,13.3
5.705,20.72,18.2,0.08447,16.7
5.914,14.98,18.2,0.06664,12.0
5.782,11.45,18.2,0.07886,14.6
6.382,11.08,18.2,0.09103,21.4
6.113,12.12,18.2,0.05735,23.0
6.426,7.79,18.2,0.06417,23.7
6.376,7.26,18.2,0.05372,25.0
6.041,9.41,18.2,0.09604,21.8
5.708,8.23,18.2,0.10469,20.6
6.415,12.60,18.2,0.06417,21.2
6.431,11.48,18.2,0.06724,19.1
6.312,12.27,18.2,0.04544,20.6
6.083,9.97,18.2,0.05023,15.2
5.868,7.74,18.2,0.05083,7.0
6.333,11.50,18.2,0.03738,8.1
6.144,12.03,18.2,0.03961,13.6
5.706,11.11,18.2,0.03427,20.1
6.782,7.40,18.2,0.03041,21.8
6.251,10.57,18.2,0.03306,24.5
6.167,8.92,18.2,0.05497,23.1
5.750,11.64,18.2,0.06151,19.7
5.927,5.68,18.2,0.01301,18.3
5.914,9.30,18.2,0.02498,21.2
6.069,10.73,18.2,0.02543,17.5
6.593,3.53,18.2,0.03049,16.8
6.120,7.43,18.2,0.03113,22.4
6.976,4.66,18.2,0.04527,20.6
6.794,9.69,18.2,0.06076,23.9
6.030,9.92,18.2,0.10959,22.0
6.593,3.89,18.2,0.04741,11.9
6.861,5.12,17.9,0.06078,24.6
7.148,4.45,17.9,0.04527,22.6
6.630,6.59,17.9,0.06162,18.6
6.127,9.39,17.9,0.05025,14.9
6.009,13.51,17.9,0.07165,18.8
6.678,8.64,17.9,0.05372,10.5
6.549,8.16,17.9,0.05322,21.5
5.790,13.00,17.9,0.06076,19.2
6.345,11.30,17.9,0.05188,18.0
7.041,7.68,17.9,0.07886,23.0
6.871,6.48,17.9,0.12579,22.5
6.590,5.48,17.9,0.08370,19.6
6.495,9.74,17.9,0.09068,18.4
6.982,3.33,17.9,0.06911,17.4
7.236,3.64,17.9,0.08664,15.6
6.616,5.56,17.9,0.02187,13.9
7.420,2.98,17.9,0.01439,16.6
6.849,6.58,17.9,0.02875,14.8
6.635,6.27,17.9,0.04294,18.4
5.972,9.25,17.9,0.10153,21.0
4.973,20.62,17.9,0.05602,12.7
6.122,13.15,17.9,0.04684,14.5
6.023,14.44,17.9,0.03932,13.2
6.266,6.09,17.9,0.04203,13.1
6.567,9.39,17.9,0.02899,13.5
5.705,20.72,17.9,0.01151,18.9
5.914,14.98,17.9,0.01538,20.0
5.782,11.45,17.9,0.02899,21.0
6.382,11.08,17.9,0.06211,24.7
6.113,12.12,17.9,0.08447,30.8
6.426,7.79,17.9,0.06664,34.9
