@relation winequality-red

@attribute fixed_acidity numeric
@attribute volatile_acidity numeric
@attribute citric_acid numeric
@attribute residual_sugar numeric
@attribute chlorides numeric
@attribute free_sulfur_dioxide numeric
@attribute total_sulfur_dioxide numeric
@attribute density numeric
@attribute pH numeric
@attribute sulphates numeric
@attribute alcohol numeric
@attribute quality numeric

@data
10.2,0.42,0.57,3.4,0.07,5,17,0.9969,3.0,0.58,9.5,6
7.5,0.63,0.12,5.1,0.111,50,110,0.9983,3.26,0.77,9.4,5
7.8,0.59,0.18,2.3,0.076,17,54,0.9975,3.43,0.59,10.0,5
7.3,0.39,0.31,2.4,0.074,9,46,0.9962,3.41,0.54,9.4,6
8.8,0.4,0.4,2.2,0.079,19,52,0.9965,3.22,0.68,10.0,6
7.7,0.69,0.49,1.8,0.115,20,112,0.9968,3.21,0.71,9.3,5
7.5,0.52,0.16,1.9,0.085,12,35,0.9968,3.38,0.62,9.5,7
7.0,0.735,0.05,2.0,0.081,13,54,0.9966,3.39,0.57,9.8,5
7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,5
7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,5
7.5,0.52,0.11,1.5,0.079,11,39,0.9968,3.42,0.58,9.6,5
6.6,0.705,0.07,1.6,0.076,6,15,0.9962,3.44,0.58,10.7,5
9.3,0.32,0.57,2.0,0.074,27,65,0.9969,3.28,0.79,10.7,5
8.0,0.705,0.05,1.9,0.074,8,26,0.9968,3.37,0.81,10.6,6
7.7,0.63,0.08,1.9,0.076,15,27,0.9967,3.32,0.54,9.5,6
7.7,0.67,0.23,2.1,0.088,17,96,0.9962,3.32,0.48,9.5,5
7.7,0.69,0.22,1.9,0.084,18,94,0.9961,3.31,0.48,9.5,5
6.9,0.52,0.25,2.6,0.081,10,37,0.9968,3.46,0.5,11.0,5
5.0,0.4,0.5,4.3,0.046,29,80,0.9902,3.49,0.66,13.6,6
6.0,0.58,0.2,2.4,0.075,15,50,0.9977,3.58,0.6,10.5,5
7.7,0.69,0.22,1.9,0.084,18,94,0.9961,3.31,0.48,9.5,5
6.4,0.57,0.12,2.3,0.12,25,36,0.9968,3.4,0.79,10.0,6
7.0,0.6,0.12,2.2,0.083,13,28,0.9968,3.4,0.64,10.4,6
6.0,0.5,0.04,2.2,0.092,13,26,0.9954,3.51,0.58,10.2,5
7.6,0.68,0.02,1.3,0.072,9,20,0.9965,3.17,0.59,9.5,5
7.6,0.68,0.02,1.3,0.072,9,20,0.9965,3.17,0.59,9.5,5
7.8,0.53,0.04,1.7,0.076,17,31,0.9964,3.33,0.56,10.0,6
7.4,0.6,0.26,2.1,0.083,17,98,0.9968,3.26,0.59,9.5,5
7.3,0.59,0.26,2.1,0.079,16,96,0.9965,3.28,0.58,9.5,5
5.0,0.42,0.24,2.0,0.06,19,50,0.9917,3.72,0.74,14.0,8
7.8,0.5,0.17,1.6,0.082,21,102,0.996,3.39,0.48,9.5,5
7.8,0.545,0.16,1.9,0.073,21,59,0.9966,3.37,0.54,10.0,6
8.4,0.62,0.09,2.2,0.084,11,108,0.9964,3.15,0.66,9.8,5
8.4,0.6,0.1,2.2,0.085,14,111,0.9964,3.15,0.66,9.8,5
10.1,0.31,0.44,2.3,0.08,22,44,0.9971,3.27,0.55,9.4,6
7.8,0.56,0.19,1.8,0.104,12,47,0.9964,3.19,0.93,9.5,5
9.4,0.4,0.31,2.2,0.09,12,38,0.9966,3.1,0.79,9.6,5
8.3,0.54,0.28,1.9,0.077,11,40,0.9964,3.2,0.69,9.5,5
7.8,0.56,0.12,2.0,0.082,7,28,0.997,3.37,0.5,9.4,6
8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,6
7.0,0.69,0.08,1.8,0.097,22,89,0.9959,3.34,0.54,9.2,5
6.8,0.6,0.06,2.0,0.089,16,61,0.996,3.42,0.56,9.5,5
6.8,0.6,0.06,2.0,0.089,16,61,0.996,3.42,0.56,9.5,5
10.6,0.28,0.39,15.5,0.069,6,23,1.0026,3.12,0.66,9.2,5
6.2,0.47,0.17,1.8,0.072,16,49,0.9948,3.28,0.57,9.0,5
7.8,0.54,0.26,2.0,0.088,23,48,0.9981,3.39,0.63,9.6,5
7.2,0.31,0.46,2.1,0.091,25,45,0.9952,3.4,0.89,11.8,6
7.8,0.609,0.11,1.8,0.081,3,10,0.996,3.26,0.55,9.8,5
7.8,0.58,0.13,2.1,0.102,17,36,0.9944,3.24,0.53,11.2,6
6.5,0.9,0.0,1.6,0.052,9,17,0.9918,3.5,0.42,12.5,5
6.0,0.52,0.05,2.0,0.048,9,22,0.9949,3.39,0.43,10.1,5
5.9,0.52,0.0,2.0,0.058,10,21,0.9946,3.37,0.43,10.1,5
9.0,0.58,0.25,2.0,0.071,10,28,0.9968,3.2,0.77,9.6,5
7.6,0.42,0.08,2.7,0.084,15,48,0.9968,3.21,0.59,9.5,5
7.7,0.715,0.01,2.1,0.064,31,43,0.9954,3.36,0.48,10.9,5
8.0,0.58,0.16,2.0,0.12,3,7,0.9972,3.29,0.54,9.2,5
8.1,0.545,0.18,1.9,0.081,10,23,0.9972,3.28,0.55,9.4,5
9.2,0.56,0.18,1.6,0.078,10,21,0.9964,3.15,0.49,9.5,5
7.6,0.715,0.0,2.1,0.068,30,35,0.9956,3.36,0.48,10.9,5
8.4,0.31,0.29,3.1,0.194,14,26,0.9978,3.22,0.78,9.6,6
7.8,0.56,0.19,2.1,0.081,15,27,0.9979,3.38,0.61,9.4,5
8.4,0.56,0.08,2.0,0.105,4,10,0.9978,3.22,0.58,9.6,5
6.8,0.63,0.12,3.8,0.099,16,126,0.9969,3.28,0.61,9.5,5
7.6,0.55,0.21,2.2,0.071,7,28,0.9964,3.28,0.55,9.7,5
7.0,0.54,0.0,2.1,0.079,39,55,0.9956,3.39,0.84,11.4,6
7.5,0.615,0.12,5.8,0.083,12,43,0.9972,3.36,0.56,10.0,5
9.9,0.54,0.45,2.3,0.071,16,40,0.9991,3.39,0.62,9.4,5
7.9,0.18,0.37,1.2,0.04,16,75,0.9924,3.24,0.41,11.6,6
9.1,0.22,0.24,2.1,0.078,1,28,0.999,3.41,0.87,10.3,6
7.6,0.27,0.23,1.9,0.048,6,23,0.9971,3.41,0.76,10.1,5
9.1,0.21,0.24,2.2,0.078,1,29,0.999,3.41,0.87,10.2,6
7.2,0.32,0.36,2.0,0.033,37,114,0.9906,3.1,0.71,12.5,7
8.0,0.57,0.23,3.2,0.073,17,119,0.9675,3.26,0.57,9.3,5
7.7,0.26,0.26,2.0,0.052,19,77,0.9951,3.15,0.79,10.9,6
6.9,0.87,0.0,2.3,0.123,14,35,0.997,3.44,0.58,9.4,4
7.3,0.65,0.0,1.2,0.065,15,21,0.9946,3.39,0.47,10.0,4
7.0,0.46,0.2,1.9,0.079,13,43,0.9954,3.33,0.52,10.1,5
7.3,0.36,0.3,1.8,0.066,21,42,0.9952,3.34,0.52,10.5,6
7.1,0.32,0.32,2.5,0.082,21,58,0.9967,3.31,0.53,9.5,5
7.3,0.69,0.0,2.4,0.076,24,49,0.9962,3.41,0.6,10.5,5
6.8,0.53,0.08,1.8,0.062,11,36,0.9956,3.42,0.6,10.3,5
8.6,0.42,0.39,1.8,0.068,6,12,0.9978,3.3,0.88,9.6,6
7.7,0.27,0.68,2.8,0.094,12,34,0.9976,3.23,0.58,9.2,5
7.7,0.25,0.67,2.9,0.094,10,33,0.9979,3.2,0.58,9.1,5
5.8,0.26,0.26,2.8,0.098,22,75,0.9972,3.52,0.67,9.6,5
7.9,0.35,0.21,1.9,0.073,34,87,0.9959,3.33,0.54,9.5,6
7.3,0.55,0.01,1.8,0.093,9,27,0.9962,3.29,0.49,9.4,5
8.2,0.39,0.38,1.5,0.058,10,29,0.9962,3.26,0.74,9.8,5
6.4,0.595,0.14,5.2,0.058,15,97,0.9949,3.03,0.56,10.6,6
8.2,0.39,0.38,1.5,0.058,10,29,0.9962,3.26,0.74,9.8,6
7.8,0.48,0.68,1.7,0.415,14,32,0.9921,3.11,0.53,11.3,6
6.9,0.56,0.0,2.5,0.088,24,53,0.9967,3.47,0.65,10.2,5
7.6,0.42,0.27,6.1,0.074,16,78,0.997,3.21,0.63,9.5,5
7.2,0.54,0.27,2.6,0.084,12,78,0.996,3.39,0.71,11.0,5
7.1,0.36,0.3,1.6,0.08,35,70,0.9958,3.2,0.55,9.5,5
8.0,0.67,0.3,2.0,0.06,38,62,0.9958,3.24,0.58,10.2,5
8.1,0.33,0.44,1.5,0.042,6,12,0.995,3.34,0.77,11.2,7
9.2,0.58,0.2,3.0,0.081,15,115,0.9968,3.16,0.49,9.5,5
7.6,0.52,0.12,2.7,0.072,16,68,0.9976,3.26,0.5,9.3,5
6.1,0.21,0.4,1.4,0.066,40.5,165,0.9912,3.25,0.59,11.9,6
7.8,0.18,0.36,1.0,0.058,10,28,0.9944,3.35,0.58,11.1,6
7.3,0.98,0.05,2.1,0.061,20,49,0.994,3.27,0.54,9.8,4
9.3,0.35,0.38,1.5,0.086,21,42,0.9966,3.17,0.68,9.2,5
8.0,0.4,0.42,2.1,0.077,14,35,0.9972,3.25,0.77,9.4,5
7.8,0.57,0.09,2.3,0.065,34,45,0.9946,3.32,0.6,11.8,6
11.6,0.41,0.58,2.8,0.096,25,101,1.0003,3.13,0.53,10.0,5
8.3,0.33,0.42,2.3,0.07,9,20,0.9953,3.37,0.78,12.0,7
7.8,0.53,0.01,1.6,0.077,3,19,0.9954,3.32,0.56,11.4,5
6.0,0.5,0.0,1.4,0.057,15,26,0.9952,3.55,0.72,10.5,5
9.5,0.46,0.49,6.3,0.064,5,17,0.9988,3.21,0.73,11.0,6
7.1,0.46,0.14,2.1,0.054,21,39,0.9951,3.4,0.6,11.0,5
6.4,0.64,0.21,1.8,0.081,14,31,0.9689,3.59,0.66,9.8,5
8.0,0.38,0.44,1.9,0.098,6,15,0.9956,3.26,0.6,10.4,6
9.4,0.24,0.33,1.8,0.077,11,22,0.9964,3.2,0.68,10.0,6
5.9,0.29,0.25,13.4,0.067,72,160,0.9987,3.28,0.6,10.0,5
6.1,0.32,0.25,2.5,0.045,20,36,0.9914,3.4,0.72,12.0,7
7.5,0.31,0.41,2.4,0.065,34,60,0.9901,3.19,0.59,12.6,7
8.3,0.61,0.3,2.1,0.062,16,32,0.9958,3.26,0.54,11.8,6
7.4,0.61,0.01,1.9,0.08,18,72,0.9953,3.3,0.49,10.9,5
